Brand,Model,Type,Screen Size,Display Technology,Condition,name,price,Display Resolution,TV Operation System,Exchange Possible,Refresh Rate,Display Type,Projector Resolution,Image Brightness,Projector Features
Hitachi,Hitachi CP-WX4041WN,Projector,,,Used,Hitachi 3000 ANSI Lumens UK Fairly Used (No Remote),"GH₵ 1,500",,,,,,1280x720 (HD 720p),3000,"Rear Projection, DVD Player, 3D"
Nasco,,TVs,,,Brand New,UHD Satellite Nasco 50′′ Smart TV (NAS-H50FUS),"GH₵ 2,599",,,,,,,,
Samsung,,TVs,40 inches,LED,Brand New,"Buy Samsung 40"" FHD Digital Smart TV","GH₵ 3,299",1080p (FullHD),,,,,,,
LG,,TVs,,,Brand New,"43"" LG Digital TV","GH₵ 2,299",,,,,,,,
Samsung,QE55LS03AAU,TVs,55 inches,QLED,Used,"Qled/Frame 55""Samsung 2021 Smart Satellite TV","GH₵ 8,000",2160p (4K),Smart TV (own system),No,800 Hz,Glossy,,,
LG,65nano79,TVs,65 inches,LED,Brand New,LG 65 Inch Nanocell TV 65NANO79 HDR Webos Smart AI Thinq,"GH₵ 14,900",2160p (4K),,,,,,,
TCL,43-55400A,TVs,43 inches,LED,Brand New,Latest TCL 43inch Smart Android Tv(43p635),"GH₵ 3,699",,,,,,,,
Zara,ZR-H43FB,TVs,43 inches,LED,Brand New,Incredible 43inch Zara LED Digital Satellite Television,"GH₵ 1,999",1080p (FullHD),,No,,,,,
TCL,65P635,TVs,65 inches,LED,Brand New,Latest TCL 65inch Smart Uhd Android Tv(65p635),"GH₵ 6,999",,,,,,,,
LG,32lp50,TVs,32 inches,LED,Brand New,Splendid Better LG Lp50 32 Inch HD TV (32lp500bpta),"GH₵ 1,599",,,,,,,,
Nasco,nas-j65fus-AND,TVs,65 inches,LED,Brand New,Awesome Nasco 65inch Smart Uhd Android Led Tv.,"GH₵ 6,899",,,,,,,,
Nasco,,TVs,65 inches,LED,Brand New,Appealing 65 Smart Nasco With Youtube Netflix,"GH₵ 4,399",2160p (4K),,,,,,,
Haier,H85S5UG,TVs,85 inches,LED,Brand New,Haier 85inch Smart Uhd Android Led Digital Satellite Tv,"GH₵ 20,499",,,,,,,,
LG,65UR80,TVs,65 inches,LED,Brand New,"LG 65""(65UR80) Smart UHD Satellite Digital Led Tv","GH₵ 10,699",2160p (4K),Tizen,,240 Hz,Glossy,,,
Bruhm,btf-65sw,TVs,65 inches,LED,Brand New,BRUHM 65 Inch Webos Smart Bluetooth UHD- LED TV 2023,"GH₵ 7,000",2160p (4K),Smart TV (own system),Yes,,,,,
Samsung,55Au7022,TVs,55 inches,LED,Brand New,Sleek in Smart UHD Samsung 55”Au7022 Tv .,"GH₵ 6,999",,,,,,,,
LG,,TVs,,,Brand New,Sweet Display <>55 Lg Smart Full Airplay + Magic Remote ¥,"GH₵ 3,849",,,,,,,,
Nasco,H43FB,TVs,43 inches,LED,Brand New,.Efficient 43 Inches Nasco 43 TV.,"GH₵ 1,999",,,,,Glossy,,,
Other,Other,TVs,32 inches,LED,Brand New,Best Choice to Buy Asano Smart Android Tv UHD 65”,"GH₵ 6,799",,,,,,,,
TCL,S5400,TVs,32 inches,LED,Brand New,Lastest TCL 32 Inches Smart LED S5400 HDR Tv,"GH₵ 2,099",2160p (4K),,,,Glossy,,,
Asano,UT4,TVs,50 inches,LED,Brand New,Built in Wifi Asano 50′′ Ultra HD Smart LED TV – Black,"GH₵ 3,999",2160p (4K),Android TV,,60 Hz,,,,
Sony,X7500H,TVs,50 inches,LED,Brand New,Beautiful// Sony Bravia 55 Smart HDR Led With Android,"GH₵ 5,599",2160p (4K),,,,,,,
Samsung,qa55ls01takxxa,TVs,55 inches,QLED,Brand New,Samsung 55 Qled Led Serif 4k Smart Tv,"GH₵ 11,500",2160p (4K),,,,,,,
LG,,TVs,55 inches,LED,Brand New,"Newly LG UHD 4k Smart 55"" Inches Up75 Series","GH₵ 4,590",2160p (4K),,,240 Hz,Glossy,,,
LG,,TVs,,,Brand New,"LG 65"" 4K UHD Smart Digital Satellite TV + Magic Remote","GH₵ 6,300",,,,,,,,
TCL,43S435,TVs,43 inches,LED,Brand New,Luckiest TCL 43 Smart Android UHD Tv,"GH₵ 3,599",1080p (FullHD),Google TV,No,,,,,
TCL,43S5400A,TVs,43 inches,LED,Brand New,Adorable TCL 43inch Smart Satellite Android Tv(43S5400A),"GH₵ 3,299",,,,,,,,
LG,,TVs,,,Brand New,"HDR Active LG 32"" 32LM6300 Smart Full HD LED TV - Black","GH₵ 1,350",,,,,,,,
Zara,H43FB,TVs,43 inches,LED,Brand New,New(H43FB)43inch Full HD Tv,"GH₵ 1,949",1080p (FullHD),,,120 Hz,,,,
Pearl,PLT-32CKHHD-19S,TVs,32 inches,LED,Brand New,Number One Pearl 32inch Led Digital Satellite Television,"GH₵ 1,099",1080p (FullHD),,No,,,,,
Bruhm,BFT32SN,TVs,32 inches,LED,Brand New,"Bruhm Tv 32"" Digital Satellite","GH₵ 1,199",1080p (FullHD),,,,,,,
Other,Asano,TVs,50 inches,LED,Brand New,60 Inch Uhd Smart Bluetooth Asano Tv Available Now(Black),"GH₵ 3,999",,,,,,,,
Bruhm,Bruhm,TVs,32 inches,LED,Brand New,Bruhm 32 Inches Glossy LED Quality Clear Tv,"GH₵ 1,199",2160p (4K),,,,Glossy,,,
Nasco,nas-j50fb,TVs,50 inches,LED,Brand New,Perfect Nasco 50inch Digital Satellite FHD Tv (Nas-J50fb),"GH₵ 3,099",,,,,,,,
Samsung,75Bu8000,TVs,75 inches,LED,Brand New,Outstanding Performance UHD Smart 75”Bu8000 Samsung,"GH₵ 18,499",2160p (4K),,,,Glossy,,,
LG,43lp50,TVs,43 inches,LED,Brand New,LG 108 Cm (43 Inches) Full HD LED Satellite HD Smarttv,"GH₵ 3,899",1080p (FullHD),Smart TV (own system),No,120 Hz,Glossy,,,
Other,,TVs,,,Brand New,32inches Best Syinix Led Tv,GH₵ 949,,,,,,,,
Samsung,,TVs,55 inches,LED,Brand New,Perfect Slim // Samsung 55 Crystal UHD Smart HDR 4k Led,"GH₵ 5,299",2160p (4K),,,,,,,
Samsung,,TVs,,,Brand New,5 Series Samsung 40inch TV,"GH₵ 2,199",,,,,,,,
TCL,32D3200,TVs,32 inches,LED,Brand New,Special New TLC FHD Satellite 32” 32D3200,"GH₵ 1,699",,,,,,,,
LG,50nano756,TVs,50 inches,LED,Brand New,Durable Lg 50inch Smart Nanocell 50nano756,"GH₵ 6,500",,,,,,,,
Samsung,75CU8000,TVs,75 inches,LED,Brand New,Great Samsung 75inch Smart Uhd Crystal Led Tv 75CU8000.,"GH₵ 18,500",,,,,,,,
Syinix,,TVs,55 inches,,Brand New,Dealing Syinix 55 UHD Smart TV,"GH₵ 3,999",,,,,,,,
Bruhm,BFT32SN,TVs,32 inches,LED,Brand New,"Bruhm Tv 32"" Digital Satellite","GH₵ 1,199",1080p (FullHD),,,,,,,
Bruhm,Bruhm,TVs,32 inches,LED,Brand New,Shop Original Bruhm 32 Inch Digital Satelite LED Tv.,"GH₵ 1,199",,,,,,,,
TCL,65p635,TVs,65 inches,LED,Brand New,Classic TCL 65inch Smart Android Google TV (65P635),"GH₵ 7,349",,,,,,,,
LG,,TVs,,,Brand New,"LG 65"" 4K UHD Smart Digital Satellite TV + Magic Remote","GH₵ 6,300",,,,,,,,
Bruhm,BTF55SG,TVs,55 inches,LED,Brand New,Bruhm Android Tv 55 Inches,"GH₵ 5,899",2160p (4K),,,,,,,
LG,65UP78003,TVs,65 inches,LED,Brand New,LG 65′′ Smart 4K ULTRA HD TV – 65UM7450PVA + Magic Remote*,"GH₵ 12,500",2160p (4K),,,120 Hz,Glossy,,,
Skyworth,65,TVs,65 inches,OLED,Brand New,Skyworth 65” Uhd Smart TV With Android HDR Frameless2023,"GH₵ 7,200",2160p (4K),Google TV,Yes,120 Hz,,,,
Itel,s3250,TVs,32 inches,LED,Brand New,Newest Itel 32inch Smart Android Tv,"GH₵ 1,599",,,,,,,,
TCL,43S5400A,TVs,43 inches,LED,Brand New,Popular TCL 43 Smart Android FHD TV,"GH₵ 3,299",1080p (FullHD),Google TV,No,,,,,
Asano,DS2,TVs,32 inches,LED,Brand New,"32 "" HDR LED Android Asano TV","GH₵ 1,099",,,,,,,,
Bruhm,Bruhm 32,TVs,32 inches,LED,Brand New,Classic Bruhm 32 Inch Full HD Digital Satelite LED Tv,"GH₵ 1,199",,,,,,,,
TCL,43-55400A,TVs,43 inches,LED,Brand New,Latest TCL 43inch Smart Android Tv(43p635),"GH₵ 3,699",,,,,,,,
LG,75NANO75,TVs,75 inches,LED,Brand New,Triluminos Display LG UHD Smart Nanocell 75”NANO75+Dstv,"GH₵ 19,999",2160p (4K),,,,Glossy,,,
LG,32lm550,TVs,32 inches,LED,Brand New,"Quality 2019 32"" Smart Digital Satellite LG 32LM6300PLA","GH₵ 1,699",,,,,,,,
LG,,TVs,65 inches,,Brand New,New 2021 LG 65'' Uhd 4K Smart Thinq Ai LED TV,"GH₵ 7,000",,,,,,,,
Bruhm,43SV,TVs,43 inches,LED,Brand New,Smart Tv With Youtube(Bruhm 43),"GH₵ 2,799",1080p (FullHD),Smart TV (android AOSP),,,,,,
LG,ZX,TVs,88 inches,OLED,Brand New,"LG 88 Inch, Hdr Smart, Oled Tv, Oled88zxpva","GH₵ 269,000",4320p (8K),Smart TV (own system),,,,,,
Nasco,,TVs,75 inches,LED,Brand New,Well Executed Nasco 75” TV,"GH₵ 7,599",2160p (4K),,,,,,,
Nasco,nas-j32fb,TVs,32 inches,LED,Brand New,Powerful Nasco 32inch (Nas-J32fb) Digital Satellite Led Tv.,"GH₵ 1,149",,,,,,,,
Other,Other,TVs,32 inches,LED,Brand New,Tv+ Free Wallmount Tv (0ver 200protech 32 Inches Digital Tv,GH₵ 999,,,,,,,,
LG,,TVs,,,Brand New,"Sealed In Box Smart Satellite LG 43LM6300 HD TV - 43"" Black","GH₵ 2,950",,,,,,,,
LG,,TVs,50 inches,LED,Brand New,True HDR Smart//LG 50 UHD Smart HDR 4k Led,"GH₵ 4,499",1440p (2K),,,,,,,
LG,,TVs,50 inches,LED,Brand New,Dream the Nice LG 50nano75 Smart 4K,"GH₵ 4,499",2160p (4K),,,,Glossy,,,
TCL,43P635,TVs,43 inches,LED,Brand New,TCL 43 Inch Smart UHD TV With Bluetooth Connectivity,"GH₵ 3,990",2160p (4K),Android TV,No,50 Hz,,,,
TCL,55P635,TVs,55 inches,LED,Brand New,Sturdy TCL 55 Smart Android UHD Tv,"GH₵ 5,699",2160p (4K),Google TV,No,,,,,
Nasco,nas-h43fb,TVs,43 inches,LED,Brand New,Adorable Nasco 43inch Digital Satellite Led Tv Nas-H43fb.,"GH₵ 2,299",,,,,,,,
Hitachi,Hitachi CP-WX4041WN,Projector,,,Used,Hitachi 3000 ANSI Lumens UK Fairly Used (No Remote),"GH₵ 1,500",,,,,,1280x720 (HD 720p),3000,"Rear Projection, DVD Player, 3D"
Other,Asano,TVs,50 inches,LED,Brand New,60 Inch Uhd Smart Bluetooth Asano Tv Available Now(Black),"GH₵ 3,999",,,,,,,,
Samsung,75q60b,TVs,75 inches,OLED,Brand New,Powerful Samsung 75inch Oled Tv 75qn85a.,"GH₵ 24,899",,,,,,,,
