Brand,Model,Type,Screen Size,Display Technology,Condition,name,price,Display Resolution,Display Type,Refresh Rate,TV Operation System,Exchange Possible,Projector Resolution,Image Brightness,Projector Features,Operating System,Maximum Resolution,Storage Capacity,Connectivity
Samsung,Samsung,TVs,50 inches,CRT,Used,Uk Used Samsung 50 Inches Smart Crystal Satellite Tv,"GH₵ 5,500",2160p (4K),Glossy,400 Hz,Tizen,Yes,,,,,,,
Hitachi,Hitachi,TVs,32 inches,LED,Used,"Hitachi 32"" Inch Digital Smart Full HD TV","GH₵ 1,500",1080p (FullHD),,,,,,,,,,,
Sony,X7500H,TVs,50 inches,LED,Brand New,Beautiful// Sony Bravia 55 Smart HDR Led With Android,"GH₵ 5,599",2160p (4K),,,,,,,,,,,
Other,,TVs,43 inches,,Brand New,TV Nasco 1080P TV,"GH₵ 1,679",,,,,,,,,,,,
Hitachi,Hitachi CP-WX4041WN,Projector,,,Used,Hitachi 3000 ANSI Lumens UK Fairly Used (No Remote),"GH₵ 1,500",,,,,,1280x720 (HD 720p),3000,"Rear Projection, DVD Player, 3D",,,,
Asano,DT3,TVs,43 inches,LED,Brand New,"Unbeatable Quality Asano 43"" Digital Satellite HD TV [43DT3]","GH₵ 2,099",1080p (FullHD),,60 Hz,Without Smart TV,,,,,,,,
Bruhm,BTF43SV,TVs,43 inches,LED,Brand New,"Bruhm Smart Tv 43""( With Netflix)","GH₵ 2,849",,,,,,,,,,,,
asano,40inch,TVs,40 inches,LED,Brand New,Asano 40inch TV Full Digital Satellite,"GH₵ 1,849",1080p (FullHD),Glossy,60 Hz,Without Smart TV,No,,,,,,,
TCL,65P635,TVs,65 inches,LED,Brand New,TCL 65inch Uhd TV,"GH₵ 7,499",Other,Glossy,60 Hz,Android TV,No,,,,,,,
LG,32LP5000,TVs,43 inches,LED,Brand New,Very Affordable LG FHD Satellite Digital Tv 32”,"GH₵ 1,599",1080p (FullHD),Glossy,,,,,,,,,,
TCL,C645,TVs,65 inches,QLED,Brand New,2023-TCL 65C645 165 Cm (65 Inch) QLED Ultra HD Google TV,"GH₵ 9,900",2160p (4K),,120 Hz,Android TV,,,,,,,,
